@relation D3
 
@attribute F1 {0, 1}
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 {0, 1}
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 {0, 1}
@attribute F11 numeric
@attribute F12 numeric
@attribute result {1, 2, 3}

@data
0,0,0,0,0,0,0,0.088235294,0,0,0.030593717,0.051824043,3
0,-0.132352941,-0.213235294,-1,-1,-1,0,-0.007352941,-0.198529412,0,0.030593717,0.028492849,2
0,-0.047511312,-0.174208145,-2,-2,-1,0,-0.230769231,-0.246606335,0,0.030593717,0.025416308,2
0,0,-0.31092437,0,1,-1,0,0,-0.739495798,0,0.030593717,0.040595651,3
0,0,0.052521008,0,0,2,0,0,0.075630252,0,0.030593717,0.037002521,3
0,0,0,0,0,0,0,0,-0.777777778,0,0.030593717,0.067945202,3
0,-0.122994652,0.545454545,0,1,-4,0,-0.181818182,-0.352941176,1,0.030593717,0.031950974,1
0,0,-0.227941176,0,0,-1,0,0,-0.154411765,1,0.030593717,0.032317672,1
0,0,-0.10130719,0,0,-10,0,0.029411765,-0.153594771,0,0.030593717,0.039425308,3
0,-0.061497326,-0.27540107,0,-1,-2,0,0,-0.173796791,0,0.030593717,0.040800419,3
0,-0.368983957,0.090909091,0,2,1,0,-0.243315508,-0.173796791,0,0.030593717,0.03208746,2
0,-0.026143791,0.153594771,0,0,1,0,0,-0.078431373,0,0.030593717,0.045925394,3
0,-0.303921569,-0.215686275,0,-1,-3,0,-0.333333333,-0.490196078,0,0.030593717,0.033496731,3
0,-0.042016807,0.046218487,0,0,-1,0,0,-0.647058824,0,0.030593717,0.04998569,3
0,-0.061764706,0.7,0,0,-8,0,-0.1,-0.191176471,0,0.030593717,0.037809213,1
0,-0.136363636,-0.075757576,0,1,2,0,0,-0.106060606,1,0.037687382,0.029749075,1
0,-0.013175231,0.826086957,-1,-1,0,0,-0.086956522,0.018445323,1,0.037687382,0.047052302,3
1,-0.02020202,0,0,-1,0,0,-0.228956229,-0.01010101,1,0.037687382,0.040525552,1
0,-0.112554113,-0.134199134,0,-1,1,0,0,-0.463203463,1,0.037687382,0.030465559,1
0,0,-0.007575758,0,2,-3,0,-0.01969697,-0.236363636,1,0.037687382,0.052435076,3
0,0,-0.06969697,0,0,-3,0,0.03030303,-0.439393939,1,0.037687382,0.046759346,1
0,-0.022328549,-0.111642743,0,0,-8,0,-0.022328549,-0.145135566,1,0.037687382,0.033778887,3
0,-0.06969697,-0.057575758,0,0,-7,0,-0.3,-0.375757576,1,0.037687382,0.048592044,3
0,0,0.060606061,0,0,-2,0,0,-0.46969697,1,0.037687382,0.052555604,1
0,0,0.092691622,0,-1,2,0,0,-0.409982175,1,0.037687382,0.047365261,3
0,-0.019393939,-0.056969697,0,0,-2,0,-0.08,-0.123636364,1,0.037687382,0.055498044,2
0,0.185714286,0.407142857,-1,0,2,0,0.142857143,0.65,0,0.027324499,0.033484951,3
0,0,-0.607142857,-2,-1,2,0,0,0.75,0,0.027324499,0.031074416,2
1,0.065934066,-0.714285714,-1,8,7,1,0.571428571,0.549450549,0,0.027324499,0.046463404,3
